"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","VIDEODISC","2020","1","7","Mrs. Bradley mysteries. The complete series / a BBC production in association with BBC America and WGBH Boston ; producer, Deborah Jones ; adapted by Simon Booker, Gwyneth Hughes, Julie Rutterford ; directors, Audrey Cooke.",,"Bradley Beatrice Lestrange Fictitious character Drama, Murder Investigation Drama, Extortion Drama, Nineteen twenties Drama, Television series, Detective and mystery television programs, Fiction television programs, Video recordings for the hearing impaired","BBC,","[2017]"
"Digital","OverDrive","EBOOK","2020","1","2","Earth: A Novel","David Brin","Fiction, Literature, Science Fiction","Random House, Inc.","2014"
"Physical","Horizon","VIDEODISC","2020","1","2","Mystery of the megaflood / a Mentorn production for Nova/WGBH in association with CBC, Five, National Geographic Channel International and TV2 ; produced and directed by Ben Fox.",,"Floods Columbia Plateau, Paleoclimatology Pleistocene, Missoula Lake, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","WGBH Boston Video,","[2006]"
"Physical","Horizon","BOOK","2020","1","5","The tremor of forgery / Patricia Highsmith ; [introduction by Francine Prose].","Highsmith, Patricia, 1921-1995","Novelists Fiction, Murder Fiction, Tunisia Fiction, Psychological fiction","Grove Press,","©2011."
"Physical","Horizon","BOOK","2020","1","1","Man of war : my adventures in the world of historical reenactment / Charlie Schroeder.","Schroeder, Charlie, 1972-","Schroeder Charlie 1972 Anecdotes, Military history Anecdotes, Historical reenactments Anecdotes","Hudson Street Press,","2012."
"Digital","OverDrive","EBOOK","2020","1","1","An Unthymely Death and Other Garden Mysteries: A Treasury of Stories, Herbal Lore, Recipes and Crafts","Susan Wittig Albert","Fiction, Mystery","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","BOOK","2020","1","41","Dog days / by Jeff Kinney.","Kinney, Jeff","Summer Juvenile fiction, Diaries Juvenile fiction, Humorous stories","Amulet Books,","2009."
"Physical","Horizon","BOOK","2020","1","3","Everybody writes : your go-to guide to creating ridiculously good content / Ann Handley.","Handley, Ann, 1963-","Internet marketing, Business communication, Marketing","Wiley,","[2014]"
"Digital","OverDrive","EBOOK","2020","1","5","Parisian Lives: Samuel Beckett, Simone de Beauvoir, and Me: A Memoir","Deirdre Bair","Biography & Autobiography, Nonfiction","Random House, Inc.","2019"
"Digital","OverDrive","AUDIOBOOK","2020","1","2","Colonel Roosevelt (Unabridged)","Edmund Morris","Biography & Autobiography, History, Nonfiction","Books on Tape","2010"
"Digital","OverDrive","AUDIOBOOK","2020","1","2","Unfinished Business: Women Men Work Family (unabridged) (Unabridged)","Anne-Marie Slaughter","Business, Economics, Nonfiction, Women's Studies","Books on Tape","2015"
"Physical","Horizon","BOOK","2020","1","1","Harriet the spy, double agent / written by Maya Gold.","Gold, Maya","Spies Fiction, Secrecy Juvenile fiction, Friendship Fiction, Schools Fiction, Christmas Fiction, New York N Y Fiction","Delacorte Press,","2005."
"Digital","OverDrive","AUDIOBOOK","2020","1","1","Half Wild: Half Bad Trilogy, Book 2 (unabridged) (Unabridged)","Sally Green","Fantasy, Young Adult Fiction","Books on Tape","2018"
"Physical","Horizon","SOUNDDISC","2020","1","1","A measure of darkness : [a novel] / Jonathan Kellerman, Jesse Kellerman.","Kellerman, Jonathan","Coroners Fiction, Women Crimes against Fiction, Murder Investigation Fiction, Mass shootings Fiction, Alameda County Calif Fiction, California Fiction, Audiobooks, Psychological fiction, Thrillers Fiction, Suspense fiction","Penguin Random House,","[2018]"
"Digital","OverDrive","AUDIOBOOK","2020","1","7","The Mysterious Benedict Society and the Perilous Journey: The Mysterious Benedict Society Series, Book 2 (unabridged) (Unabridged)","Trenton Lee Stewart","Fantasy, Juvenile Fiction","Books on Tape","2008"
"Digital","OverDrive","AUDIOBOOK","2020","1","2","Robot Revolution: House of Robots Series, Book 3 (unabridged) (Unabridged)","James Patterson","Humor (Fiction), Juvenile Fiction, Juvenile Literature","Blackstone Audio, Inc.","2017"
"Digital","OverDrive","AUDIOBOOK","2020","1","1","Major League Mess-Up #29 (Unabridged)","Nancy Krulik","Fantasy, Juvenile Fiction, Juvenile Literature","Books on Tape","2018"
"Digital","OverDrive","EBOOK","2020","1","1","Follow Me: A Call to Die. A Call to Live. (Unabridged)","David Platt","Christian Nonfiction, Nonfiction, Religion & Spirituality, Self-Improvement","Tyndale House Publishers","2013"
"Physical","Horizon","BOOK","2020","1","1","Presidential misconduct : from George Washington to today / edited by James M. Banner, Jr.",,"Political corruption United States History, Misconduct in office United States History, Presidents United States History","New Press,","2019."
"Physical","Horizon","BOOK","2020","1","6","Cherry / Nico Walker.","Walker, Nico","Veterans Fiction, Drug addicts Fiction, Bank robberies Fiction, Identity Psychology Fiction, Iraq War 2003 2011 Fiction, Black humor, War fiction","Alfred A. Knopf,","2018."
"Digital","OverDrive","AUDIOBOOK","2020","1","19","Knife: Harry Hole Series, Book 12 (unabridged) (Unabridged)","Jo Nesbo","Fiction, Mystery, Suspense, Thriller","Books on Tape","2019"
"Digital","OverDrive","EBOOK","2020","1","1","Ghost Hunters: William James and the Search for Scientific Proof of Life After Death","Deborah Blum","Nonfiction, Science","Penguin Group (USA), Inc.","2010"
"Digital","OverDrive","EBOOK","2020","1","1","The Kingmaker: Sean Drummond Series, Book 3","Brian Haig","Fiction, Thriller","Hachette Digital, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","1","2","The Joy of Retirement: Finding Happiness, Freedom, and the Life You've Always Wanted","David C. Borchard","Business, Nonfiction","HarperCollins Focus","2013"
"Physical","Horizon","BOOK","2020","1","10","The adventures of BB-8 / written by David Fentiman.","Fentiman, David","Adventure and adventurers Fiction, Robots Juvenile fiction, Space warfare Juvenile fiction","DK Publishing,","2016."
